sku,description,pkg,price,section,page,medlineBrand,rawLine
"6018","CURAD Plastic Adhesive Bandages 3/4” x 3” bandage with 4-sided seal.","200 Ct","$10.00","Bandages","6","false","CURAD Plastic Adhesive Bandages 3/4” x 3” bandage with 4-sided seal. 200 Ct 6018 $10.00"
"6026","GeriCare Acetaminophen Rapid Release Gel Caps 500mg Compare to the active ingredient in Tylenol Extra Strength Rapid Release Gels.","100 Ct","$10.00","Pain & Fever Relief","14","false","GeriCare Acetaminophen Rapid Release Gel Caps 500mg Compare to the active ingredient in Tylenol Extra Strength Rapid Release Gels. 100 Ct 6026 $10.00"
"6045","Medline Shower Bath Bench with Arms Durable aluminum frame. 13.5” x 16” textured seat. Tool-free assembly. 350 lb. weight capacity. Gray.","1 Ct","$40.00","Mobility","18","true","Medline Shower Bath Bench with Arms Durable aluminum frame. 13.5” x 16” textured seat. Tool-free assembly. 350 lb. weight capacity. Gray. 1 Ct 6045 $40.00"
"6148","Famotidine Heartburn Tablets 10 mg Acid reducer.","30 Ct","$5.00","Stomach Remedies","16","false","Famotidine Heartburn Tablets 10 mg Acid reducer. 30 Ct 6148 $5.00"
"6149","Batteries MD Hearing Hearing Aid Batteries Size 312 Brown tab. 1.45V zinc air. Mercury-free.","8 Ct","$7.50","Hearing Aids & Amplifiers","8","false","Batteries MD Hearing Hearing Aid Batteries Size 312 Brown tab. 1.45V zinc air. Mercury-free. 8 Ct 6149 $7.50"
"6173","Exercise Bands, Balls & Tubing Medline Resistance Exercise Band 5 ft. long. Medium resistance. Green.","1 Ct","$4.00","Daily Living Aids","28","true","Exercise Bands, Balls & Tubing Medline Resistance Exercise Band 5 ft. long. Medium resistance. Green. 1 Ct 6173 $4.00"
"6197","Quality Plus Allergy Relief Diphenhydramine Tablets 25 mg Easy-to-swallow mini-tabs. Compare to the active ingredient in Benadryl Allergy Ultratab Tablets.","24 Ct","$7.00","Allergy & Sinus","11","false","Quality Plus Allergy Relief Diphenhydramine Tablets 25 mg Easy-to-swallow mini-tabs. Compare to the active ingredient in Benadryl Allergy Ultratab Tablets. 24 Ct 6197 $7.00"
"6238","Minerals 21st Century Calcium Citrate Maximum + D3 Tablets Gluten free. Compare active ingredients to Citracal +D Maximum.","120 Ct","$12.00","Daily Living Aids","30","false","Minerals 21st Century Calcium Citrate Maximum + D3 Tablets Gluten free. Compare active ingredients to Citracal +D Maximum. 120 Ct 6238 $12.00"
"6618","Paper Products Medline Deluxe Toilet Paper Roll Soft and durable. 4.5” x 3.2” sheet. 400 sheets/roll.","1 Ct","$1.50","Home Health Care","9","true","Paper Products Medline Deluxe Toilet Paper Roll Soft and durable. 4.5” x 3.2” sheet. 400 sheets/roll. 1 Ct 6618 $1.50"
"6882","Adjustable Heel Lift 3 layers of foam for extra cushion. Suitable for most shoe types. Fits right or left foot. Size large.","1 Ct","$11.00","Foot Care","22","false","Adjustable Heel Lift 3 layers of foam for extra cushion. Suitable for most shoe types. Fits right or left foot. Size large. 1 Ct 6882 $11.00"
"6935","Medline Peroxi-Fresh Hydrogen Peroxide Mouthwash 2 oz. 1.5% hydrogen peroxide in a solution with a touch of mint flavor. Not made with alcohol.","1 Ct","$2.50","Oral Care","24","true","Medline Peroxi-Fresh Hydrogen Peroxide Mouthwash 2 oz. 1.5% hydrogen peroxide in a solution with a touch of mint flavor. Not made with alcohol. 1 Ct 6935 $2.50"
"6944","Colgate MaxFresh Toothpaste 6 oz. Anticavity fluoride toothpaste. Cool mint flavor.","1 Ct","$10.00","Oral Care","24","false","Colgate MaxFresh Toothpaste 6 oz. Anticavity fluoride toothpaste. Cool mint flavor. 1 Ct 6944 $10.00"
"7212","Disposable Face Mask Flat-fold. White.","10 Ct","$10.00","Daily Living Aids","29","false","Disposable Face Mask Flat-fold. White. 10 Ct 7212 $10.00"
"7255","21st Century Vitamin D3 Tablets 125 mcg Gluten free. No added yeast or artificial flavors.","110 Ct","$7.00","Daily Living Aids","30","false","21st Century Vitamin D3 Tablets 125 mcg Gluten free. No added yeast or artificial flavors. 110 Ct 7255 $7.00"
"7260","Windmill Magnesium Gluconate Tablets 500 mg No sugar, artificial colors or flavors. Gluten free.","90 Ct","$29.50","Daily Living Aids","31","false","Windmill Magnesium Gluconate Tablets 500 mg No sugar, artificial colors or flavors. Gluten free. 90 Ct 7260 $29.50"
"7287","21st Century Glucosamine 500 mg Chondroitin 400 mg Tablets No added colors, no artificial flavors.","60 Ct","$14.00","Daily Living Aids","32","false","21st Century Glucosamine 500 mg Chondroitin 400 mg Tablets No added colors, no artificial flavors. 60 Ct 7287 $14.00"
"7377","Clotrimazole 1% Cream 1.5 oz. Compare to the active ingredient in Gyne-Lotrimin.","1 Ct","$13.50","Eye Care","21","false","Clotrimazole 1% Cream 1.5 oz. Compare to the active ingredient in Gyne-Lotrimin. 1 Ct 7377 $13.50"
"7424","Medline Acetaminophen Tablets 325 mg Pain reliever and fever reducer.","100 Ct","$5.00","Pain & Fever Relief","14","true","Medline Acetaminophen Tablets 325 mg Pain reliever and fever reducer. 100 Ct 7424 $5.00"
"7437","TheraCare Max Strength Pain Relief 4% Lidocaine Patch Compare to the active ingredient in Aspercreme Lidocaine Patch. 3.93” x 5.51”.","5 Ct","$10.00","Pain & Fever Relief","16","false","TheraCare Max Strength Pain Relief 4% Lidocaine Patch Compare to the active ingredient in Aspercreme Lidocaine Patch. 3.93” x 5.51”. 5 Ct 7437 $10.00"
"7482","Magnesium Citrate Oral Solution 10 oz. Saline laxative for temporary relief of occasional constipation. Low sodium. Lemon flavor.","10 Oz","$10.00","Stomach Remedies","17","false","Magnesium Citrate Oral Solution 10 oz. Saline laxative for temporary relief of occasional constipation. Low sodium. Lemon flavor. 10 Oz 7482 $10.00"
"7641","Swan Advanced Hand Sanitizer 8 oz. Compare to Purell Advanced Hand Sanitizer.","8 Oz","$6.50","Foot Care","22","false","Swan Advanced Hand Sanitizer 8 oz. Compare to Purell Advanced Hand Sanitizer. 8 Oz 7641 $6.50"
"7717","Medline Closed Patella Knee Support 10.25” long contoured neoprene pull-on. 2XL (20”-22” circumference).","1 Ct","$8.00","Sunscreens","28","true","Medline Closed Patella Knee Support 10.25” long contoured neoprene pull-on. 2XL (20”-22” circumference). 1 Ct 7717 $8.00"
"7718","Medline Closed Patella Knee Support 9.75” long contoured neoprene pull-on. Medium (14”-16” circumference).","1 Ct","$8.00","Sunscreens","28","true","Medline Closed Patella Knee Support 9.75” long contoured neoprene pull-on. Medium (14”-16” circumference). 1 Ct 7718 $8.00"
"7719","Medline Closed Patella Knee Support 9.75” long contoured neoprene pull-on. Small (13”-14” circumference).","1 Ct","$8.00","Sunscreens","28","true","Medline Closed Patella Knee Support 9.75” long contoured neoprene pull-on. Small (13”-14” circumference). 1 Ct 7719 $8.00"
"7720","Medline Closed Patella Knee Support 10.25” long contoured neoprene pull-on. XL (18”-20” circumference).","1 Ct","$8.00","Sunscreens","28","true","Medline Closed Patella Knee Support 10.25” long contoured neoprene pull-on. XL (18”-20” circumference). 1 Ct 7720 $8.00"
"7813","21st Century Prostate Health w/ Beta-Sitosterol Softgels Provides 450 mg of plant sterol esters that include 125 mg of beta-sitosterol.","60 Ct","$10.50","Daily Living Aids","32","false","21st Century Prostate Health w/ Beta-Sitosterol Softgels Provides 450 mg of plant sterol esters that include 125 mg of beta-sitosterol. 60 Ct 7813 $10.50"
